,State Names,1984 Median Income,1985 Median Income,1986 Median Income,1987 Median Income,1988 Median Income,1989 Median Income,1990 Median Income,1991 Median Income,1992 Median Income,1993 Median Income,1994 Median Income,1995 Median Income,1996 Median Income,1997 Median Income,1998 Median Income,1999 Median Income,2000 Median Income,2001 Median Income,2002 Median Income,2003 Median Income,2004 Median Income,2005 Median Income,2006 Median Income,2007 Median Income,2008 Median Income,2009 Median Income,2010 Median Income,2011 Median Income,2012 Median Income,2013 Median Income,2014 Median Income,2015 Median Income,2016 Median Income,2017 Median Income,2018 Median Income,2019 Median Income,2020 Median Income,2021 Median Income
0,Alabama,43850,44910,46110,46010,44850,45840,47970,48250,49880,47310,50200,46860,53230,54930,61530,60260,56920,55250,58360,56640,54330,53550,53170,57660,58600,52890,53420,53900,53970,58050,51140,53880,56660,59980,57720,64010,61650,61390
1,Alaska,81970,85210,75580,77480,74430,77550,80710,80490,80790,80970,83740,86470,92720,82540,86010,85430,84920,90140,81910,78810,81670,80570,79030,86040,84310,81490,75490,72690,79030,88910,81800,90920,90860,91960,79450,89290,84260,87490
2,Arizona,54270,58500,61460,62360,59430,61490,60020,60920,56740,57540,57760,55650,55580,56310,62930,61500,63930,67110,61670,62590,65040,65220,65360,64490,61810,60510,61200,61540,58410,64540,59580,63250,68510,70390,71990,80500,75620,76370
3,Arkansas,39710,42750,45150,43890,45350,46160,46800,46450,46160,43450,47190,46550,47650,44990,46940,49340,47720,52390,50270,48660,51890,52840,51910,55720,52160,48330,50350,52270,48450,48310,54340,51810,55080,58660,57540,62120,57240,54760
4,California,64060,66100,69920,70280,68090,71090,68370,66720,67460,64260,65210,66730,68180,68270,69450,72520,75230,74270,73630,74960,73010,74610,77490,76120,75120,74260,70840,67540,70800,74580,73170,77030,79960,82580,81480,88960,87530,87960
5,Colorado,65360,69040,65540,61730,58940,57730,63120,62430,62790,65050,69830,73400,71940,74350,79060,80080,77520,77620,74960,75930,75480,72720,78020,83510,80290,73990,78600,74200,71090,83310,73710,80610,84670,88420,84420,82580,94440,91610
6,Connecticut,75870,76170,78870,76620,81420,91150,79830,83540,78940,74530,75850,72560,73990,75650,78910,84100,80620,83830,82860,83570,81730,81930,87420,87610,85220,85790,86120,82790,79770,85010,84870,88230,91100,87620,84160,99420,89540,87300
7,Delaware,65410,56300,61770,68180,68580,69070,63270,64580,68960,68020,66210,62980,69050,74010,70340,77510,80930,77950,77060,74530,71270,73860,73460,74560,66800,68940,72050,69180,60810,66360,69580,69910,69650,76600,75140,84510,78930,74070
8,District of Columbia,51700,51640,58620,64010,60120,57620,56260,59230,58460,51500,55590,55440,56160,54790,56730,64280,66240,64690,60640,68490,64450,64860,67910,69360,73240,70300,74290,69930,81010,73680,82590,84820,85170,95840,99110,106100,99440,97740
9,Florida,50120,52290,55070,57100,57120,56180,54810,54010,52860,53850,54070,53630,53830,55820,59230,59560,62440,57230,59020,59250,60120,61970,63990,62550,59100,60360,57500,57090,57210,59540,55810,59100,61400,62600,63160,66480,65110,64410
10,Georgia,50620,51570,58740,62280,59730,59320,56610,53930,55660,59720,58080,61480,57090,63050,65600,65540,67330,66910,66650,64520,60790,66200,69120,66440,60910,57330,57570,58190,59750,57650,59940,61450,64230,68370,64520,64500,66810,66310
11,Hawaii,73150,70950,69910,81650,74250,75460,79940,73820,81400,80460,77990,77260,73380,70400,69270,73980,82830,74550,73420,78810,83420,85890,84710,87440,81060,73620,77700,74730,69860,78800,86150,78090,86550,86780,92590,100200,91110,88630
12,Idaho,53430,50860,50010,48390,52720,53100,51970,51760,53550,58490,58210,58920,60970,57450,62230,59510,60440,60090,58540,64420,65790,63680,64740,67180,62480,61880,61400,60070,59500,59460,64640,62490,67870,70160,67880,75160,75220,82940
13,Illinois,60170,60930,63900,63150,66380,67410,66840,63190,60980,61970,64750,68650,69480,71000,73260,77010,74020,72550,66290,68650,68340,69770,68180,71710,70160,69940,66200,64090,64240,66170,66430,73130,73650,77790,81080,84740,83790,85460
14,Indiana,57680,55550,54780,52500,59110,55780,55310,53690,55140,55590,51420,60200,61740,66880,67410,67880,65660,63450,63710,64500,62790,61170,63610,64810,61290,58610,60210,56250,57310,60670,58130,62930,67310,69290,69230,75960,75310,75690
15,Iowa,50320,51270,54130,51740,54650,56570,56050,56590,55550,54060,61060,64040,58340,58100,62810,68320,65870,64390,63710,62920,64360,67030,67420,66800,66060,67100,63960,63560,66360,73800,69930,73660,70900,74840,79430,75240,77570,78100
16,Kansas,62390,55830,57670,59650,57480,57850,61450,58060,58650,56150,52280,54710,57240,62720,62290,62080,65980,65080,66150,67250,60910,60580,63810,66240,63080,59150,60100,58410,62090,58670,64650,66410,68160,67090,73900,83320,82380,81930
17,Kentucky,44790,42530,47900,48200,44760,50150,50900,47100,45390,45980,49090,53750,56940,57530,61510,56080,58270,60400,57060,56160,52820,52900,55310,53890,54210,56440,53640,50440,51020,55060,51750,51310,54440,58570,63060,63400,63980,59980
18,Louisiana,48000,51890,50350,49770,46080,49240,46020,50140,49170,49630,47390,50390,53160,57200,53840,54280,49360,52360,52780,50940,54030,53680,51110,56430,52130,60100,51280,51460,48530,56950,51290,55590,50630,51370,57760,58890,57700,61690
19,Maine,52310,50270,56460,55020,59360,60780,56410,55230,57240,51750,55960,61050,60950,56360,60470,64600,59880,57530,57200,56430,61300,63320,63940,65420,62220,62840,62550,62890,61040,67420,62550,61440,61020,62870,67810,75800,71800,76710
20,Maryland,75260,73830,73770,81530,82180,77570,79810,73230,71910,75330,72350,74000,77280,80290,84860,86780,87630,84120,87550,79540,84700,87230,89190,89640,83940,84910,83780,87170,89200,85080,92130,89090,88500,96800,99660,108900,106900,105000
21,Massachusetts,68290,69110,73130,75170,74670,77720,74450,70780,70270,69910,74750,69550,69380,72270,71850,73150,75130,82110,77380,77470,77160,80750,77510,79850,79470,78540,79520,80130,79040,76710,76390,82150,86710,89900,99800,99900,98980,93340
22,Michigan,58180,59390,64130,64590,66260,66280,61490,63650,62370,61600,65120,65680,68910,66630,70960,76610,73130,70790,66300,68450,62680,66210,68150,67430,65600,60840,60390,61860,62100,69400,62910,65610,68500,66510,69870,73030,72590,69540
23,Minnesota,61900,58450,63740,65470,65400,65010,64630,58420,59880,63530,62100,68400,72010,73200,81320,78190,87170,82780,84780,80310,83220,78150,78740,79300,72370,74200,68280,73180,76730,78910,81340,83200,84250,82510,83010,92740,88770,86740
24,Mississippi,39090,40210,39800,43160,40840,42900,41440,38600,39760,41850,46880,47850,46860,49010,49410,53990,55110,47400,47930,49760,51550,47390,48660,50920,48020,46400,49800,52010,45500,39670,42970,48460,49310,51030,49450,51010,50880,50290
25,Missouri,52630,53750,52850,55300,52710,57070,56140,55350,52880,54100,55720,62790,60190,62870,68210,68790,72470,64960,66390,66540,62500,61970,62450,62840,60660,64510,59790,57930,61790,56800,68500,71660,66010,66660,71350,69020,70090,68570
26,Montana,49490,49580,49000,47730,49980,51030,48010,49200,51270,49920,51000,50050,50390,50240,53580,51590,52670,50480,54070,51860,50370,53790,57580,59630,56520,53490,53870,50980,55980,53000,61810,62210,68480,67690,66670,68560,63960,70090
27,Nebraska,54200,53410,52480,54250,56570,56680,56450,58560,58080,58480,58680,59370,59750,59660,61780,64210,67090,68530,66420,66860,64950,69080,67440,67160,66840,65610,68510,70390,64810,70690,68790,73200,71240,70260,78110,83230,81440,84220
28,Nevada,65300,57020,63190,62660,62910,63190,65770,65280,61670,67550,66210,65060,67700,66820,67450,68920,73530,71350,69780,68700,70020,69490,73240,73830,72130,68040,66810,59540,58770,63600,60330,62960,66510,68440,71510,80760,68950,69380
29,New Hampshire,65650,64690,73630,75390,77850,80830,83810,71410,76220,71600,65050,70630,69230,70510,76280,76560,81830,80660,85860,84490,84270,82140,86810,92300,87190,84840,86950,83380,84210,84770,88780,91600,91500,89180,94020,98980,100200,95800
30,New Jersey,70360,75900,76440,79830,81580,84260,79560,79370,75380,76390,78040,79200,83390,82590,84540,82670,80990,81350,84690,85210,81990,91350,95340,82640,86040,85690,82170,78900,82810,78210,78920,82750,82150,84000,85740,99920,96430,95490
31,New Mexico,52260,50040,47830,48400,43380,48680,51430,52600,49980,50470,49660,46860,44070,51740,53520,54150,56390,52050,55030,53370,58680,56140,56070,60580,55470,57600,58900,53130,53920,49280,56470,54620,58130,53770,55810,60500,57380,57650
32,New York,55800,57910,60320,61510,65010,67830,64880,63010,60020,59780,58880,59550,62210,61570,63450,66470,65470,66180,65140,65060,66230,68010,67550,66850,66480,66430,64960,64090,59200,61300,65690,70210,73720,72570,77760,81840,77400,78630
33,North Carolina,52110,52550,52690,53060,54890,56870,54080,53220,53680,54360,55580,57660,62540,61640,60810,61930,61570,59970,56670,56680,59680,60620,55750,59430,56560,55440,57200,57210,51600,56850,56590,61490,64510,58420,61690,69660,68120,67820
34,North Dakota,52620,51950,51840,52640,54170,54340,51890,51310,52110,53030,52190,52450,55280,54450,51420,54300,57840,56250,56190,61440,58170,60820,57500,64470,65390,66240,66560,71330,69240,72570,73460,69500,72210,70950,76870,79760,72270,74280
35,Ohio,58580,61670,60540,60090,62370,62500,61640,59040,60700,59010,58800,63000,59850,62140,66040,65640,69030,65660,66250,66170,63860,63720,64300,67060,61840,60690,59880,56510,55100,62260,60050,64520,64770,71560,71240,73650,68060,67600
36,Oklahoma,53570,51950,50490,50570,53210,50970,50080,50460,48870,49530,49820,47440,48200,53920,57220,54330,52110,55960,56590,54590,58760,54270,54410,59030,60750,60690,56250,61330,60110,56630,57090,56990,61120,61180,62920,67650,59150,64800
37,Oregon,54210,53640,59710,58380,62390,61440,60140,59830,61710,62500,58060,65590,62350,64060,66280,67520,68290,64860,64880,63310,60810,63660,65970,68610,68150,64950,66030,65210,64290,60110,71220,73640,70950,73690,79950,84760,86630,88260
38,Pennsylvania,51540,56050,57380,59270,60120,61790,59570,60180,57760,58460,59190,62250,61310,64520,66200,62760,67770,68360,65960,65280,65420,66740,67910,66160,67720,63720,63050,63170,64450,67670,66740,73100,73170,72260,74580,80390,79800,78310
39,Rhode Island,54750,60330,63970,65960,67090,64880,65660,61110,58820,63200,58930,63760,64970,59850,69030,71010,67810,71850,65840,67980,71100,71330,75280,74040,70150,68300,67370,62060,69610,69100,70920,67430,73830,77120,71970,79900,90380,80850
40,South Carolina,51450,49090,52950,58400,57410,51260,59020,54430,53300,49140,55090,52420,60900,58930,56440,60610,60370,59300,58690,58500,57390,57990,55500,60390,55540,54370,54410,50730,55130,53440,54350,56120,65200,64310,66400,70650,68020,67440
41,South Dakota,49170,44450,47960,49310,50120,51920,50470,48830,50750,52310,54880,53330,51870,51070,55630,59560,58610,62340,58780,60090,60970,62200,63640,63400,67980,60620,59180,59770,61360,65530,64170,66660,68930,67110,68730,73190,79120,79680
42,Tennessee,42510,43560,44000,49380,46890,48700,46400,48460,47000,47340,52860,52320,54090,52690,57840,60710,54790,56230,57470,57050,56470,56800,57010,56270,52310,53600,50360,53510,53390,53200,52880,57290,61610,65210,64800,64500,61970,67030
43,Texas,58330,58170,58240,57640,56120,55750,57980,54960,54030,54180,56770,57770,58100,60320,60710,64310,62040,64210,62320,59710,61400,59710,60670,62900,61250,62800,61680,62080,64480,63070,65170,68360,69770,70860,69100,76820,77110,72680
44,Utah,58410,61830,63350,61850,59160,66160,61910,55520,66200,67500,65920,65780,65070,73570,75160,76550,76410,74400,74280,74920,75460,79010,76530,73110,82390,77370,73990,70230,72440,74890,76670,80200,80970,82290,89080,96270,94680,94510
45,Vermont,57200,63700,59290,59250,65170,67400,63870,57780,63310,58590,66080,60990,56840,60290,66800,69120,63620,64110,66740,65770,70200,73090,72820,64730,66810,69210,72980,65640,69010,80370,73430,72020,73000,75090,80990,84630,75810,82040
46,Virginia,67190,69650,71620,69930,73400,73480,72040,71620,73830,68720,69490,65310,68880,73880,73560,75950,75780,78950,77030,83290,75860,74840,80020,80800,81670,80030,78780,79250,80250,80850,80020,74430,79730,83500,89180,92610,92670,86550
47,Washington,63370,58800,64790,63690,72680,68840,65950,67320,65520,67250,61890,64130,64430,76640,80460,75590,68330,66770,70130,72230,74050,73010,76660,79330,74610,79890,73290,71950,77220,78420,71450,81400,84360,84360,92150,93910,91710,94510
48,West Virginia,42670,39160,39680,40120,43510,46690,45470,45870,39180,42290,43490,44860,44350,47280,45310,48700,47260,46630,45570,49810,49500,52540,53820,57490,50060,53560,55820,52930,54080,52840,47840,51840,53220,55370,58460,61170,58580,50500
49,Wisconsin,52550,56950,63700,61480,66490,62720,63080,61700,64380,59910,65320,73850,70270,68100,70120,75910,72450,71260,71250,70350,67830,64360,72410,70040,67460,67780,65710,65890,65910,63460,70250,67090,71770,74850,72390,76720,75980,75420
50,Wyoming,60330,54100,56780,64320,59400,63580,60510,57570,58390,55530,61170,56850,54380,57480,59810,61920,63680,62420,61720,64700,67340,64460,65900,66580,70270,69410,68120,68990,71410,82740,67360,73750,69390,70200,72290,74190,73780,76620
